question,old_id,new_id,diff_type,timestamp,old_traceid,new_traceid,position,total_diff_count,source_combo
睿创微纳的主要业务领域、技术优势和市场地位是什么,,AN202506101688342655_5,only_in_new,2025-07-23 20:38:41,,15f1d8f0-8b4b-4302-8e66-a7401297f64f,,4,old_1×new_1
睿创微纳的主要业务领域、技术优势和市场地位是什么,,AN202504101654292494_46,only_in_new,2025-07-23 20:38:41,,15f1d8f0-8b4b-4302-8e66-a7401297f64f,,4,old_1×new_1
创新药企ETF的业绩表现，风险收益，现任基金经理，份额与规模,AN202507201712423361_13,,only_in_old,2025-07-23 20:40:14,348c8192-9d8b-41b4-b794-91572a1c8ffa,,,6,old_1×new_1
创新药企ETF的业绩表现，风险收益，现任基金经理，份额与规模,CRf459a5fefd081d9d642762a7f8756201_2,,only_in_old,2025-07-23 20:40:14,348c8192-9d8b-41b4-b794-91572a1c8ffa,,,6,old_1×new_1
创新药企ETF的业绩表现，风险收益，现任基金经理，份额与规模,CRda06e8c5349dbaed6c6789f797ecd393_2,,only_in_old,2025-07-23 20:40:14,348c8192-9d8b-41b4-b794-91572a1c8ffa,,,6,old_1×new_1
创新药企ETF的业绩表现，风险收益，现任基金经理，份额与规模,,AN202507211712847062_8,only_in_new,2025-07-23 20:40:14,,ca3db3f0-b8e2-48d9-89db-85503e955bf4,,6,old_1×new_1
创新药企ETF的业绩表现，风险收益，现任基金经理，份额与规模,,AN202507201712470864_9,only_in_new,2025-07-23 20:40:14,,ca3db3f0-b8e2-48d9-89db-85503e955bf4,,6,old_1×new_1
创新药企ETF的业绩表现，风险收益，现任基金经理，份额与规模,,AN202507211712814919_18,only_in_new,2025-07-23 20:40:14,,ca3db3f0-b8e2-48d9-89db-85503e955bf4,,6,old_1×new_1
"""方正科技最近的资金动向是什么样的？",CRa1ce05489b480b8ba1a1d41d305d9a74_1,,only_in_old,2025-07-23 20:40:59,28be7cb3-bc6c-4d4c-be17-bac52ae71e86,,,4,old_1×new_1
"""方正科技最近的资金动向是什么样的？",CRd6c6ca35a5b1197ffd9dd8855669e1e1_3,,only_in_old,2025-07-23 20:40:59,28be7cb3-bc6c-4d4c-be17-bac52ae71e86,,,4,old_1×new_1
"""方正科技最近的资金动向是什么样的？",,AN202507221713654750_3,only_in_new,2025-07-23 20:40:59,,e896ee3c-f7f7-429f-9cdd-021f75bb6164,,4,old_1×new_1
"""方正科技最近的资金动向是什么样的？",,AN202507221713654749_1,only_in_new,2025-07-23 20:40:59,,e896ee3c-f7f7-429f-9cdd-021f75bb6164,,4,old_1×new_1
市场对长鑫存储的评价和反应,CR1e9aa2603580f42c24f1faaba2757651_1,,only_in_old,2025-07-23 20:48:04,63f1a2fa-9238-452d-b8b1-066fc6e0a22f,,,6,old_1×new_1
市场对长鑫存储的评价和反应,CR9d6ad336329feab3f71b8df77bfa7955_2,,only_in_old,2025-07-23 20:48:04,63f1a2fa-9238-452d-b8b1-066fc6e0a22f,,,6,old_1×new_1
市场对长鑫存储的评价和反应,CR85779b0e90dabd42c1db8fb8a5944d36_9,,only_in_old,2025-07-23 20:48:04,63f1a2fa-9238-452d-b8b1-066fc6e0a22f,,,6,old_1×new_1
市场对长鑫存储的评价和反应,,AP202506231696207155_2,only_in_new,2025-07-23 20:48:04,,196d3d08-57cf-4525-9706-1447dc33a7c1,,6,old_1×new_1
市场对长鑫存储的评价和反应,,AP202507091705565536_2,only_in_new,2025-07-23 20:48:04,,196d3d08-57cf-4525-9706-1447dc33a7c1,,6,old_1×new_1
市场对长鑫存储的评价和反应,,AP202507101706187409_1,only_in_new,2025-07-23 20:48:04,,196d3d08-57cf-4525-9706-1447dc33a7c1,,6,old_1×new_1
网宿科技的主营业务和市场地位是什么？,CRbb834b202b0d852a45815deb99d96b52_2,,only_in_old,2025-07-23 20:50:59,4b540757-f2d1-4072-8303-22cf0ef0844e,,,4,old_1×new_1
网宿科技的主营业务和市场地位是什么？,CRec78213ba67b29bf204ff9571e4595a5_1,,only_in_old,2025-07-23 20:50:59,4b540757-f2d1-4072-8303-22cf0ef0844e,,,4,old_1×new_1
网宿科技的主营业务和市场地位是什么？,,CRcd04a895c8c0fef23579be4cc7f6a10f_2,only_in_new,2025-07-23 20:50:59,,88086e0d-527b-4243-b452-1fd901bebb92,,4,old_1×new_1
网宿科技的主营业务和市场地位是什么？,,CR210c957d7301da13a084322500510669_1,only_in_new,2025-07-23 20:50:59,,88086e0d-527b-4243-b452-1fd901bebb92,,4,old_1×new_1
新易盛和科大国创的公司主营业务,AP201703160411510066_1,,only_in_old,2025-07-23 20:52:47,d7b0f729-7f2f-41db-a221-03c13e9092da,,,10,old_1×new_2
新易盛和科大国创的公司主营业务,CR5431a992b8bb6ad801670c9640d4a864_2,,only_in_old,2025-07-23 20:52:47,d7b0f729-7f2f-41db-a221-03c13e9092da,,,10,old_1×new_2
新易盛和科大国创的公司主营业务,CRa964473ff236f22a4a7fcb216b6239f7_1,,only_in_old,2025-07-23 20:52:47,d7b0f729-7f2f-41db-a221-03c13e9092da,,,10,old_1×new_2
新易盛和科大国创的公司主营业务,AP202507231714180237_1,,only_in_old,2025-07-23 20:52:47,d7b0f729-7f2f-41db-a221-03c13e9092da,,,10,old_1×new_2
新易盛和科大国创的公司主营业务,CR1fa886ff2d02b9be23cc678ab17c9af4_1,,only_in_old,2025-07-23 20:52:47,d7b0f729-7f2f-41db-a221-03c13e9092da,,,10,old_1×new_2
新易盛和科大国创的公司主营业务,,CR16a79e917def2731bb967298e6700b78_2,only_in_new,2025-07-23 20:52:47,,ac9a3537-6141-4196-93fd-feb109d74a88,,10,old_1×new_2
新易盛和科大国创的公司主营业务,,CR56430934b4820f0b2530977bc7a59a35_5,only_in_new,2025-07-23 20:52:47,,ac9a3537-6141-4196-93fd-feb109d74a88,,10,old_1×new_2
新易盛和科大国创的公司主营业务,,CRb3855592e678898b8f056b6e57b031b6_2,only_in_new,2025-07-23 20:52:47,,ac9a3537-6141-4196-93fd-feb109d74a88,,10,old_1×new_2
新易盛和科大国创的公司主营业务,,CR7ac81a838b4ad3a21b1858b7584ee84d_3,only_in_new,2025-07-23 20:52:47,,ac9a3537-6141-4196-93fd-feb109d74a88,,10,old_1×new_2
新易盛和科大国创的公司主营业务,,CR691aa1b7ff38180ceaa14355f07d5fee_1,only_in_new,2025-07-23 20:52:47,,ac9a3537-6141-4196-93fd-feb109d74a88,,10,old_1×new_2
2025年 香港 稳定币 发展现状,AP202507221713422283_7,,only_in_old,2025-07-23 20:55:51,87c46164-8b32-401e-af1c-b668a3539206,,,6,old_1×new_3
2025年 香港 稳定币 发展现状,CRfb4112c1a6135e878aa098593db07cdb_1,,only_in_old,2025-07-23 20:55:51,87c46164-8b32-401e-af1c-b668a3539206,,,6,old_1×new_3
2025年 香港 稳定币 发展现状,CR1b1bddb1f6b013663d35c8da7f89b9f7_3,,only_in_old,2025-07-23 20:55:51,87c46164-8b32-401e-af1c-b668a3539206,,,6,old_1×new_3
2025年 香港 稳定币 发展现状,,CR5fcf62556f3c843e6cd76efdc1cd5019_4,only_in_new,2025-07-23 20:55:51,,a72b7566-7b1e-4f84-843b-b0a0de3e7e4a,,6,old_1×new_3
2025年 香港 稳定币 发展现状,,AP202507181711031950_1,only_in_new,2025-07-23 20:55:51,,a72b7566-7b1e-4f84-843b-b0a0de3e7e4a,,6,old_1×new_3
2025年 香港 稳定币 发展现状,,AP202507131708264170_2,only_in_new,2025-07-23 20:55:51,,a72b7566-7b1e-4f84-843b-b0a0de3e7e4a,,6,old_1×new_3
浙江杭徽reits,AN202507231714227635_1,,only_in_old,2025-07-23 20:58:48,4d2b53f8-c2f5-45c1-bc9d-5b4ec0a4db12,,,2,old_1×new_1
浙江杭徽reits,,AP202506291699740911_3,only_in_new,2025-07-23 20:58:48,,f8735aa4-9a76-485c-bdba-e361a21954d0,,2,old_1×new_1
300的预期收益率,CR635fa0b8a16d69f4f6a41f9a9a9164b9_1,,only_in_old,2025-07-23 21:00:27,d6721d3c-915c-4f3c-8a01-fc88b1917a37,,,4,old_1×new_1
300的预期收益率,AN202507181711019406_2,,only_in_old,2025-07-23 21:00:27,d6721d3c-915c-4f3c-8a01-fc88b1917a37,,,4,old_1×new_1
300的预期收益率,,CR339c0dc4602be5c75ef03cd76ae5101e_5,only_in_new,2025-07-23 21:00:27,,56c54346-6b47-47a8-bf7c-541902c150bc,,4,old_1×new_1
300的预期收益率,,CRa528a4191dae90bd5240b63d36b76a1b_3,only_in_new,2025-07-23 21:00:27,,56c54346-6b47-47a8-bf7c-541902c150bc,,4,old_1×new_1
2025年 联泓新科 003022 市场动态,AP202504141656441913_1,,only_in_old,2025-07-23 21:03:44,bf02db03-8701-4520-90cd-5d45d3909e51,,,6,old_2×new_1
2025年 联泓新科 003022 市场动态,AP202504141656441913_2,,only_in_old,2025-07-23 21:03:44,bf02db03-8701-4520-90cd-5d45d3909e51,,,6,old_2×new_1
2025年 联泓新科 003022 市场动态,AP202504091653633648_1,,only_in_old,2025-07-23 21:03:44,bf02db03-8701-4520-90cd-5d45d3909e51,,,6,old_2×new_1
2025年 联泓新科 003022 市场动态,,AN202506091687714201_1,only_in_new,2025-07-23 21:03:44,,3e53f362-d21b-46a9-95af-4942fcf9e35d,,6,old_2×new_1
2025年 联泓新科 003022 市场动态,,AN202506061685949087_1,only_in_new,2025-07-23 21:03:44,,3e53f362-d21b-46a9-95af-4942fcf9e35d,,6,old_2×new_1
2025年 联泓新科 003022 市场动态,,AP202504301664882492_1,only_in_new,2025-07-23 21:03:44,,3e53f362-d21b-46a9-95af-4942fcf9e35d,,6,old_2×new_1
"""威马农机的最新信息是什么？",CR8af671a57e40aef618912b34fa8b4d65_2,,only_in_old,2025-07-23 21:04:54,bfa15b47-0953-4f9a-b695-27959526c187,,,10,old_1×new_2
"""威马农机的最新信息是什么？",CRfb5e3ff1852a2c83f3c56f9b01f7714a_1,,only_in_old,2025-07-23 21:04:54,bfa15b47-0953-4f9a-b695-27959526c187,,,10,old_1×new_2
"""威马农机的最新信息是什么？",AN202507111707014746_1,,only_in_old,2025-07-23 21:04:54,bfa15b47-0953-4f9a-b695-27959526c187,,,10,old_1×new_2
"""威马农机的最新信息是什么？",CR99a96a80f0c987320897b14fe4d266a9_2,,only_in_old,2025-07-23 21:04:54,bfa15b47-0953-4f9a-b695-27959526c187,,,10,old_1×new_2
"""威马农机的最新信息是什么？",CRf05fef9faa2fdf2a6770d379d2331c0d_1,,only_in_old,2025-07-23 21:04:54,bfa15b47-0953-4f9a-b695-27959526c187,,,10,old_1×new_2
"""威马农机的最新信息是什么？",,AN202504281663875994_1,only_in_new,2025-07-23 21:04:54,,414ce3d2-8e75-4618-b876-be1031d17ee0,,10,old_1×new_2
"""威马农机的最新信息是什么？",,AN202506171692689450_1,only_in_new,2025-07-23 21:04:54,,414ce3d2-8e75-4618-b876-be1031d17ee0,,10,old_1×new_2
"""威马农机的最新信息是什么？",,AN202507111707014746_5,only_in_new,2025-07-23 21:04:54,,414ce3d2-8e75-4618-b876-be1031d17ee0,,10,old_1×new_2
"""威马农机的最新信息是什么？",,AN202505091670049726_2,only_in_new,2025-07-23 21:04:54,,414ce3d2-8e75-4618-b876-be1031d17ee0,,10,old_1×new_2
"""威马农机的最新信息是什么？",,AN202505131672243688_5,only_in_new,2025-07-23 21:04:54,,414ce3d2-8e75-4618-b876-be1031d17ee0,,10,old_1×new_2
中集集团目前趋势,CRYQIN2025071816140161669242_1,,only_in_old,2025-07-23 21:06:27,3348fa5b-91a5-4189-ad9a-2904dee296f1,,,2,old_1×new_1
中集集团目前趋势,,CRffe0ca2a5179c0e32c70ec75e62bc10b_1,only_in_new,2025-07-23 21:06:27,,b89bf3d7-ee23-4ca3-9a2b-4f34a39c0182,,2,old_1×new_1
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",AP202409161639890465_1,,only_in_old,2025-07-23 21:06:54,1a931572-ad36-420b-a323-1d2844908cf5,,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",AN202506201694501285_53,,only_in_old,2025-07-23 21:06:54,1a931572-ad36-420b-a323-1d2844908cf5,,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",AN202505091670101618_8,,only_in_old,2025-07-23 21:06:54,1a931572-ad36-420b-a323-1d2844908cf5,,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",AP202505261679333281_1,,only_in_old,2025-07-23 21:06:54,1a931572-ad36-420b-a323-1d2844908cf5,,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",,CR7c417c14627fc3311bdbd2a4668be081_1,only_in_new,2025-07-23 21:06:54,,386f9146-cdca-4368-a9d7-9845c1481f13,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",,CR36ae5ed16c985c584a033046269fbfb8_1,only_in_new,2025-07-23 21:06:54,,386f9146-cdca-4368-a9d7-9845c1481f13,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",,CRc806c704d1b1ff6f2b5ca66229a8448a_4,only_in_new,2025-07-23 21:06:54,,386f9146-cdca-4368-a9d7-9845c1481f13,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",,CRd33d612052c12b641da1581182b28b18_6,only_in_new,2025-07-23 21:06:54,,386f9146-cdca-4368-a9d7-9845c1481f13,,9,old_2×new_2
"""恩捷股份当前的市场状况和投资价值分析是怎样的？",,CRd33d612052c12b641da1581182b28b18_7,only_in_new,2025-07-23 21:06:54,,386f9146-cdca-4368-a9d7-9845c1481f13,,9,old_2×new_2
2025年上半年债券市场的风险管理工具与技术有哪些,CRda65caa88131b54b8c7ae0a17a5aebd0_3,,only_in_old,2025-07-23 21:09:14,45f9588a-8423-4f80-b0a6-ed2c886a2281,,,4,old_1×new_3
2025年上半年债券市场的风险管理工具与技术有哪些,CR72a847f0496ddda5e830f784349a26d8_1,,only_in_old,2025-07-23 21:09:14,45f9588a-8423-4f80-b0a6-ed2c886a2281,,,4,old_1×new_3
2025年上半年债券市场的风险管理工具与技术有哪些,,AN202507221713422658_185,only_in_new,2025-07-23 21:09:14,,0ec84321-f214-413d-9684-e0af058748cc,,4,old_1×new_3
2025年上半年债券市场的风险管理工具与技术有哪些,,CR5cc19933db7fb92012308a1f0efe3674_1,only_in_new,2025-07-23 21:09:14,,0ec84321-f214-413d-9684-e0af058748cc,,4,old_1×new_3
股票（权益类资产） 2025年市场表现,CR48026771d69110eafa287ee301f0585d_5,,only_in_old,2025-07-23 21:09:41,12dbd8e2-5fe7-44d5-85f8-7f722dfbe21a,,,4,old_2×new_1
股票（权益类资产） 2025年市场表现,CR49d0d129e773465aca0540d5d7b19552_3,,only_in_old,2025-07-23 21:09:41,12dbd8e2-5fe7-44d5-85f8-7f722dfbe21a,,,4,old_2×new_1
股票（权益类资产） 2025年市场表现,,AP202506231695959226_29,only_in_new,2025-07-23 21:09:41,,60d341af-d12f-48a9-a53a-6723becaa771,,4,old_2×new_1
股票（权益类资产） 2025年市场表现,,CR5a0853a6edb11df61a97ce9184216c27_2,only_in_new,2025-07-23 21:09:41,,60d341af-d12f-48a9-a53a-6723becaa771,,4,old_2×new_1
"""002261",AN202505051667809760_1,,only_in_old,2025-07-23 21:10:07,54e3bb5a-a410-4127-a93d-70d0d59e3677,,,2,old_3×new_2
"""002261",,CRdc106b0a16788248f1c86b1ff76ae803_1,only_in_new,2025-07-23 21:10:07,,a71361e2-f165-40d6-bf0f-cfd3388ab1ee,,2,old_3×new_2
我们和哪些私募有合作,CRad9728b97344e4e43d01fbac8955f64f_3,,only_in_old,2025-07-23 21:11:24,648ddaca-86d0-487d-a522-3df4cd989a8b,,,2,old_1×new_2
我们和哪些私募有合作,,CRfeb3f2cdcfb1d43067c23984d3719ecb_2,only_in_new,2025-07-23 21:11:24,,adf9e607-88f8-436f-9d8b-6fb752a162c3,,2,old_1×new_2
查本周连续涨跌幅度在-1～1%的沪深主板热点板块轮动股票，2025上半年中报预期业绩增长50%以上，,AN202507201712471560_9,,only_in_old,2025-07-23 21:13:57,e2ec16c8-650e-4e06-9095-f9afc0cdff15,,,2,old_1×new_2
查本周连续涨跌幅度在-1～1%的沪深主板热点板块轮动股票，2025上半年中报预期业绩增长50%以上，,,AN202507201712469741_9,only_in_new,2025-07-23 21:13:57,,2ed9b19e-47ce-4bad-83d6-115f57ca71af,,2,old_1×new_2
光伏设备板块近期有什么重要新闻？,AP202507141708700048_3,,only_in_old,2025-07-23 21:15:32,d860600b-e56f-47c0-823a-0b2e1f42a49a,,,2,old_2×new_1
光伏设备板块近期有什么重要新闻？,,AP202507221713422692_1,only_in_new,2025-07-23 21:15:32,,1cb2ecaf-776b-4ec2-b396-9b50a0f03c55,,2,old_2×new_1
2024年 凯冷链 净利润数据,CRa7bf44508d6f996033d3df9d15378525_1,,only_in_old,2025-07-23 21:17:15,4aee0da9-e96d-4d97-9894-428c869d92d9,,,4,old_1×new_1
2024年 凯冷链 净利润数据,CRfcf21a7e598e5c8efd7a6eca5be58505_13,,only_in_old,2025-07-23 21:17:15,4aee0da9-e96d-4d97-9894-428c869d92d9,,,4,old_1×new_1
2024年 凯冷链 净利润数据,,AP202506101688234800_3,only_in_new,2025-07-23 21:17:15,,a14fa274-d97d-4dfb-aec5-4fbab71e1dd0,,4,old_1×new_1
2024年 凯冷链 净利润数据,,AP202411051640713473_2,only_in_new,2025-07-23 21:17:15,,a14fa274-d97d-4dfb-aec5-4fbab71e1dd0,,4,old_1×new_1
数据中心业务收入390亿美元，同比增长73%，得益于增强现实工作负载向推理环节的快速转移的相关资,CRb7d5a8efd27174dfdb42fcbe838572ae_6,,only_in_old,2025-07-23 21:19:22,8f70da7a-5b7f-4f20-8d17-216005e541d6,,,6,old_1×new_2
数据中心业务收入390亿美元，同比增长73%，得益于增强现实工作负载向推理环节的快速转移的相关资,AN202507211712814432_10,,only_in_old,2025-07-23 21:19:22,8f70da7a-5b7f-4f20-8d17-216005e541d6,,,6,old_1×new_2
数据中心业务收入390亿美元，同比增长73%，得益于增强现实工作负载向推理环节的快速转移的相关资,AP202507221713762172_3,,only_in_old,2025-07-23 21:19:22,8f70da7a-5b7f-4f20-8d17-216005e541d6,,,6,old_1×new_2
数据中心业务收入390亿美元，同比增长73%，得益于增强现实工作负载向推理环节的快速转移的相关资,,CR518ff0c4fcb7ab6a5b4900e5fef093b3_28,only_in_new,2025-07-23 21:19:22,,33e5dbed-ef27-4b28-b71a-1a2505bf70e3,,6,old_1×new_2
数据中心业务收入390亿美元，同比增长73%，得益于增强现实工作负载向推理环节的快速转移的相关资,,CRa2bf15add5f09f59ff6f6f7767d82c94_4,only_in_new,2025-07-23 21:19:22,,33e5dbed-ef27-4b28-b71a-1a2505bf70e3,,6,old_1×new_2
数据中心业务收入390亿美元，同比增长73%，得益于增强现实工作负载向推理环节的快速转移的相关资,,CRbb67630da12ed6460ef6f2b1bb10dc7f_5,only_in_new,2025-07-23 21:19:22,,33e5dbed-ef27-4b28-b71a-1a2505bf70e3,,6,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,AN202504281663956200_28,,only_in_old,2025-07-23 21:19:35,cea32dd7-9e39-46e6-8212-0368d3b9eff5,,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,AN202504141656511834_361,,only_in_old,2025-07-23 21:19:35,cea32dd7-9e39-46e6-8212-0368d3b9eff5,,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,AN202504281663964624_471,,only_in_old,2025-07-23 21:19:35,cea32dd7-9e39-46e6-8212-0368d3b9eff5,,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,AN202504141656511834_435,,only_in_old,2025-07-23 21:19:35,cea32dd7-9e39-46e6-8212-0368d3b9eff5,,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,AN202408301639605593_24,,only_in_old,2025-07-23 21:19:35,cea32dd7-9e39-46e6-8212-0368d3b9eff5,,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,,CR42440fc924cdaf11ab42d5b43253f578_1,only_in_new,2025-07-23 21:19:35,,b6c363be-2445-489f-834f-5b7653618664,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,,AP202506231696095355_2,only_in_new,2025-07-23 21:19:35,,b6c363be-2445-489f-834f-5b7653618664,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,,NW202504033364347342_1,only_in_new,2025-07-23 21:19:35,,b6c363be-2445-489f-834f-5b7653618664,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,,CR93e6be27e5833a7fda42b6f2f36cfd42_2,only_in_new,2025-07-23 21:19:35,,b6c363be-2445-489f-834f-5b7653618664,,10,old_1×new_2
2024年新疆特变电工集团成本增加的具体数值是多少,,CR4b7d7226e5f1c151840783bee3832672_5,only_in_new,2025-07-23 21:19:35,,b6c363be-2445-489f-834f-5b7653618664,,10,old_1×new_2
2025年 华为 市值情况,CRd34b34e74ac966a0d7955df00a5fde6b_3,,only_in_old,2025-07-23 21:22:04,df3ebdb4-f281-4ddd-8669-d26db049739f,,,2,old_3×new_1
2025年 华为 市值情况,,AP202504301665257404_5,only_in_new,2025-07-23 21:22:04,,0b06167a-69df-438e-a7aa-3529cab08040,,2,old_3×new_1
"""2005年之后至2025年，美国铁路里程数的统计数据，按5年或10年为间隔提供。",AN202507161710126449_284,,only_in_old,2025-07-23 21:22:36,a799f7ff-42d9-4410-a8a9-fb0cf934d0c4,,,4,old_2×new_1
"""2005年之后至2025年，美国铁路里程数的统计数据，按5年或10年为间隔提供。",AN202507221713675275_648,,only_in_old,2025-07-23 21:22:36,a799f7ff-42d9-4410-a8a9-fb0cf934d0c4,,,4,old_2×new_1
"""2005年之后至2025年，美国铁路里程数的统计数据，按5年或10年为间隔提供。",,CR97829e1dd99e9fa17213174056b8ee61_1,only_in_new,2025-07-23 21:22:36,,d3b404e0-590f-4874-b456-22aa3abb2041,,4,old_2×new_1
"""2005年之后至2025年，美国铁路里程数的统计数据，按5年或10年为间隔提供。",,CRc4282ccc5b8710add0af7e0807b74aa7_1,only_in_new,2025-07-23 21:22:36,,d3b404e0-590f-4874-b456-22aa3abb2041,,4,old_2×new_1
航空机电行业在6个月以上的政策支持有哪些,CR9079c70996288df49ec8403136bdcd74_3,,only_in_old,2025-07-23 21:24:53,4837f4e2-b423-44a8-8d8c-8b99a6cde3f6,,,2,old_1×new_2
航空机电行业在6个月以上的政策支持有哪些,,CR924cc2abaf4bb7f2fadabfdc743d260c_3,only_in_new,2025-07-23 21:24:53,,db42e94a-1edd-48b6-8bf9-10a10a7c5b6e,,2,old_1×new_2
