id,title,showTime,source,informationType,jumpUrl,currentQuery,originalQuery,inputQuery,invalid_reasons,process_time
IW888202507092330849_1,“25中化T1”：票面利率1.8800%，发行额15.00亿,2025-07-09 22:13:34,东方财富Choice数据,BOND,,T1股票指标含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: IW88,2025-07-23 18:00:19
JQCJ298604_1,三井住友金融集团(SMFG.US)发行10亿美元T2次级债券，息票率5.796%,2025-07-01 16:19:39,久期财经,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:00:19
JQCJ291997_1,保诚(02378.HK)：将于5月22日发行6亿新元T2次级票据,2025-05-16 10:39:56,久期财经,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:00:19
JQCJ242804_2,东亚银行(00023.HK)发行6.5亿美元T2次级票据，息票率6.75%，最终认购超5倍,2024-06-21 09:15:01,久期财经,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:00:19
NC1718649_6,ETF成赚钱主力军，纳指科技ETF涨幅领先规模升了18倍，上半年最赚钱ETF大盘点,2024-06-29 16:21:23,财联社,BOND,,ETF5150802024年5月30日至2025年5月30日价格范围。,ETF515080 2024年5月30日至2025年5月30日价格范围,ETF515080 2024年5月30日至2025年5月30日价格范围,ID前缀应为BOND但实际为: NC17,2025-07-23 18:00:43
NC1718649_2,ETF成赚钱主力军，纳指科技ETF涨幅领先规模升了18倍，上半年最赚钱ETF大盘点,2024-06-29 16:21:23,财联社,BOND,,ETF5150802024年5月30日至2025年5月30日价格范围。,ETF515080 2024年5月30日至2025年5月30日价格范围,ETF515080 2024年5月30日至2025年5月30日价格范围,ID前缀应为BOND但实际为: NC17,2025-07-23 18:00:43
NC1718649_7,ETF成赚钱主力军，纳指科技ETF涨幅领先规模升了18倍，上半年最赚钱ETF大盘点,2024-06-29 16:21:23,财联社,BOND,,ETF5150802024年5月30日至2025年5月30日价格范围。,ETF515080 2024年5月30日至2025年5月30日价格范围,ETF515080 2024年5月30日至2025年5月30日价格范围,ID前缀应为BOND但实际为: NC17,2025-07-23 18:00:43
IW7720250331000600600_24,青岛啤酒（600600.SH）：2025年一季度业绩点评速览，归母净利润17.1亿元，同比增长7.08%,2025-04-29 00:00:00,妙想AI研究员,BOND,,2025年青岛啤酒税收政策,2025年 青岛啤酒 税收政策 影响,2025年 青岛啤酒 税收政策 影响,ID前缀应为BOND但实际为: IW77,2025-07-23 18:03:40
IW7720241231000301338_2,凯格精机（301338.SZ）：2024年年报业绩点评速览，归母净利润7052万元，营业收入同比上升15.75%,2025-04-26 00:00:00,妙想AI研究员,BOND,,2024年 凯冷链 净利润数据,2024年 凯冷链 净利润数据,2024年 凯冷链 净利润数据,ID前缀应为BOND但实际为: IW77,2025-07-23 18:06:29
IW7720241231000301338_6,凯格精机（301338.SZ）：2024年年报业绩点评速览，归母净利润7052万元，营业收入同比上升15.75%,2025-04-26 00:00:00,妙想AI研究员,BOND,,2024年 凯冷链 净利润数据,2024年 凯冷链 净利润数据,2024年 凯冷链 净利润数据,ID前缀应为BOND但实际为: IW77,2025-07-23 18:06:29
IWPO20250710080000002N22097_22,7月10日舆情日报,2025-07-10 08:00:39,东方财富Choice数据,BOND,,峰岹科技港股发行上市，定价120.5元是否过高，有没有申购的价值,峰岹科技港股发行上市，定价120.5元是否过高，有没有申购的价值,峰岹科技港股发行上市，定价120.5元是否过高，有没有申购的价值,ID前缀应为BOND但实际为: IWPO,2025-07-23 18:09:20
IW7720250331000002702_14,海欣食品（002702.SZ）：2025年一季度业绩点评速览，归母净利润123万元，营业收入同比下降28.67%,2025-04-26 00:00:00,妙想AI研究员,BOND,,2024年海欣食品生产成本,2024年安井食品、三全食品、海欣食品、国联水产生产成本对比，包括直接材料、制造费、运费,2024年安井食品、三全食品、海欣食品、国联水产生产成本对比，包括直接材料、制造费、运费,ID前缀应为BOND但实际为: IW77,2025-07-23 18:14:30
EANAN202501031641804628_1,常州投资：2025年度第一期中期票据申购期间定于1月7日9时00分-1月8日18时00分，申购区间定为1.80%-2.80%,2025-01-03 20:25:56,东方财富Choice数据,BOND,,常山药业中期策略1-3个月技术分析,中期策略（1-3个月）：常山药业的技术分析和市场表现,中期策略（1-3个月）：常山药业的技术分析和市场表现,ID前缀应为BOND但实际为: EANA,2025-07-23 18:15:40
EANAN202501031641529180_1,常高新集团：2025年度第一期中期票据申购期间定于1月6日09时00分-1月7日18时00分，申购区间定为2.20%-3.20%,2025-01-03 13:21:32,东方财富Choice数据,BOND,,常山药业中期策略1-3个月市场表现。,中期策略（1-3个月）：常山药业的技术分析和市场表现,中期策略（1-3个月）：常山药业的技术分析和市场表现,ID前缀应为BOND但实际为: EANA,2025-07-23 18:15:40
IW7720250331000000963_7,华东医药（000963.SZ）：2025年一季度业绩点评速览，归母净利润9.147亿元，营业收入同比上升3.12%,2025-04-25 00:00:00,妙想AI研究员,BOND,,2025年一季度医药制造业上市公司净利率详细数据,2025年一季度医药制造业上市公司净利率详细数据,2025年一季度医药制造业上市公司净利率详细数据,ID前缀应为BOND但实际为: IW77,2025-07-23 18:16:49
IW777202507230000203703_1,沪深300指数收涨，报4119.77点,2025-07-23 14:59:57,东方财富Choice数据,BOND,,"""盈方微今日晋级二连板的概率，是其所在板块的核心标的吗，具备龙头领涨地位还是被视为跟风涨停股？","""盈方微今日晋级二连板的概率，是其所在板块的核心标的吗，具备龙头领涨地位还是被视为跟风涨停股？","""盈方微今日晋级二连板的概率，是其所在板块的核心标的吗，具备龙头领涨地位还是被视为跟风涨停股？",ID前缀应为BOND但实际为: IW77,2025-07-23 18:24:31
IW7720250630000300604_21,长川科技（300604.SZ）：2025年中报业绩点评速览，归母净利润4.27亿元，同比增长98.73%,2025-07-21 21:15:37,妙想AI研究员,BOND,,长川科技 股票代码 2025年财务数据,长川科技 股票代码 2025年财务数据,长川科技 股票代码 2025年财务数据,ID前缀应为BOND但实际为: IW77,2025-07-23 18:25:13
IW7720241231000002840_18,华统股份（002840.SZ）：2024年年报业绩点评速览，归母净利润7304万元，营业收入同比上升5.98%,2025-04-25 00:00:00,妙想AI研究员,BOND,,请你帮我找统信软件服务器操作系统2022年至2024年收入情况,请你帮我找统信软件服务器操作系统2022年至2024年收入情况,请你帮我找统信软件服务器操作系统2022年至2024年收入情况,ID前缀应为BOND但实际为: IW77,2025-07-23 18:29:54
IW7720250331000600248_15,陕建股份（600248.SH）：2025年一季度业绩点评速览，归母净利润4.169亿元，同比下降24.50%,2025-04-30 00:00:00,妙想AI研究员,BOND,,陕西建工新能源有限公司 市场增长率 预测,陕西建工新能源有限公司 市场增长率 预测,陕西建工新能源有限公司 市场增长率 预测,ID前缀应为BOND但实际为: IW77,2025-07-23 18:29:58
IW7720250331000600030_24,中信证券（600030.SH）：2025年一季度业绩点评速览，归母净利润65.45亿元，同比增长32.00%,2025-04-30 00:00:00,妙想AI研究员,BOND,,2025年 中信证券 ROE 增长率,2025年 中信证券 ROE 增长率,2025年 中信证券 ROE 增长率,ID前缀应为BOND但实际为: IW77,2025-07-23 18:32:33
JQCJ301588_1,世茂集团(00813.HK)：境外债务重组已获批生效，强制可换股债券项下前期自愿转股期于8月11日结束,2025-07-22 10:05:37,久期财经,BOND,,世茂3要重组？,世茂3要重组？,世茂3要重组？,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:34:46
JQCJ301588_5,世茂集团(00813.HK)：境外债务重组已获批生效，强制可换股债券项下前期自愿转股期于8月11日结束,2025-07-22 10:05:37,久期财经,BOND,,世茂3要重组？,世茂3要重组？,世茂3要重组？,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:34:46
JQCJ301003_2,世茂集团(00813.HK)：预计于7月21日前完成境外债务重组,2025-07-17 09:07:00,久期财经,BOND,,世茂3要重组？,世茂3要重组？,世茂3要重组？,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:34:46
JQCJ301588_3,世茂集团(00813.HK)：境外债务重组已获批生效，强制可换股债券项下前期自愿转股期于8月11日结束,2025-07-22 10:05:37,久期财经,BOND,,世茂3要重组？,世茂3要重组？,世茂3要重组？,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:34:46
TTYQIN2022031017214764559337_1,金融流程自动化又添新案例！弘玑Cyclone RPA为华夏银行提供技术支撑,2022-03-10 14:18:00,,HOT_NEWS,http://toutiao.com/group/7073352087970677285/,来也科技华夏银行流程自动化Agent市场表现。,来也科技 华夏银行 流程自动化Agent 实际成效,来也科技 华夏银行 流程自动化Agent 实际成效,source为空(null或'')但informationType需要,2025-07-23 18:35:08
IW777202507220000202881_1,“25中证S3”：截至14:43，于上证固收平台单笔成交额达19000万元,2025-07-22 14:44:08,东方财富Choice数据,BOND,,S300917.HK总市值,"""S:300917.HK, 总市值, DATE=20250530""","""S:300917.HK, 总市值, DATE=20250530""",ID前缀应为BOND但实际为: IW77,2025-07-23 18:35:16
IW888202507222429267_1,“25东证S3”：票面利率1.6100%，发行额20.00亿,2025-07-22 22:02:59,东方财富Choice数据,BOND,,S300917.HK总市值,"""S:300917.HK, 总市值, DATE=20250530""","""S:300917.HK, 总市值, DATE=20250530""",ID前缀应为BOND但实际为: IW88,2025-07-23 18:35:16
IW7720250331000600030_24,中信证券（600030.SH）：2025年一季度业绩点评速览，归母净利润65.45亿元，同比增长32.00%,2025-04-30 00:00:00,妙想AI研究员,BOND,,2025年第一季度中信证券ROE具体数值。,2025年第一季度 中信证券 ROE 具体数值,2025年第一季度 中信证券 ROE 具体数值,ID前缀应为BOND但实际为: IW77,2025-07-23 18:35:31
DB201202250003525658_2,交通、能源与TMT,2011-12-14 00:00:00,,REPORT,,Infosys怎么样？,Infosys怎么样？,Infosys怎么样？,ID前缀应为AP但实际为: DB,2025-07-23 18:38:03
IW7720241231000000600_3,建投能源（000600.SZ）：2024年年报业绩点评速览，归母净利润5.312亿元，营业收入同比上升24.13%,2025-04-24 00:00:00,妙想AI研究员,BOND,,京投能源 河北地区业务占比,京投能源 河北地区业务占比,京投能源 河北地区业务占比,ID前缀应为BOND但实际为: IW77,2025-07-23 18:39:25
TTYQIN2022052511310026505353_1,定投基金：标普500ETF今年份额增长近30亿份，美国最核心资产包？,2022-05-24 17:43:00,,HOT_NEWS,http://toutiao.com/group/7101235903032902178/,摩根大通 在美国ETF市场中的份额,摩根大通 在美国ETF市场中的份额,摩根大通 在美国ETF市场中的份额,source为空(null或'')但informationType需要,2025-07-23 18:44:02
IW7720250331000300773_11,拉卡拉（300773.SZ）：2025年一季度业绩点评速览，归母净利润1.006亿元，营业收入同比下降13.01%,2025-04-25 00:00:00,妙想AI研究员,BOND,,2025年 拉卡拉 增长点,2025年 拉卡拉 增长点,2025年 拉卡拉 增长点,ID前缀应为BOND但实际为: IW77,2025-07-23 18:46:00
IW7720250331000688025_8,杰普特（688025.SH）：2025年一季度业绩点评速览，归母净利润3605万元，同比增长37.11%,2025-04-30 00:00:00,妙想AI研究员,BOND,,2025年一季度好上好主要财务指标,2025年一季度好上好的主要财务指标如何,2025年一季度好上好的主要财务指标如何,ID前缀应为BOND但实际为: IW77,2025-07-23 18:46:06
IW7720250331000601998_10,中信银行（601998.SH）：2025年一季度业绩点评速览，归母净利润195.1亿元，同比增长1.66%,2025-04-30 00:00:00,妙想AI研究员,BOND,,2025年一季度好上好主要财务指标,2025年一季度好上好的主要财务指标如何,2025年一季度好上好的主要财务指标如何,ID前缀应为BOND但实际为: IW77,2025-07-23 18:46:06
IW88820241030496682_1,韶能股份2024年前三季度净利润同比增长216.92%,2024-10-30 18:34:55,东方财富Choice数据,BOND,,湖南兵器2024年前三季度的营业收入和归母净利润,湖南兵器2024年前三季度的营业收入和归母净利润,湖南兵器2024年前三季度的营业收入和归母净利润,ID前缀应为BOND但实际为: IW88,2025-07-23 18:46:19
IW88820241030493624_1,鸿商集团2024年前三季度净利润同比增长1224.41%,2024-10-30 13:37:10,东方财富Choice数据,BOND,,湖南兵器2024年前三季度归母净利润。,湖南兵器2024年前三季度的营业收入和归母净利润,湖南兵器2024年前三季度的营业收入和归母净利润,ID前缀应为BOND但实际为: IW88,2025-07-23 18:46:19
IW88820241030493326_1,丹投2024年前三季度净利润同比增长455.56%,2024-10-30 11:11:31,东方财富Choice数据,BOND,,湖南兵器2024年前三季度归母净利润。,湖南兵器2024年前三季度的营业收入和归母净利润,湖南兵器2024年前三季度的营业收入和归母净利润,ID前缀应为BOND但实际为: IW88,2025-07-23 18:46:19
IW88820241030494260_1,天保投控2024年前三季度净利润同比增长141.63%,2024-10-30 15:32:36,东方财富Choice数据,BOND,,湖南兵器2024年前三季度归母净利润。,湖南兵器2024年前三季度的营业收入和归母净利润,湖南兵器2024年前三季度的营业收入和归母净利润,ID前缀应为BOND但实际为: IW88,2025-07-23 18:46:19
